Entity,Code,Year,target
Albania,ALB,2017,0
Algeria,DZA,2017,44674.13448
Angola,AGO,2017,14343492.73
Argentina,ARG,2017,89330.58455
Armenia,ARM,2017,6490.232409
Australia,AUS,2017,60010.99727
Austria,AUT,2017,17333.63315
Azerbaijan,AZE,2017,0
Bangladesh,BGD,2017,331800.1227
Belarus,BLR,2017,0
Belgium,BEL,2017,6559.743077
Belize,BLZ,2017,40454.83962
Benin,BEN,2017,2184543.406
Bhutan,BTN,2017,3943.21521
Bolivia,BOL,2017,832527.5026
Bosnia and Herzegovina,BIH,2017,0
Botswana,BWA,2017,16591.73589
Brazil,BRA,2017,4315438.805
Bulgaria,BGR,2017,9117.761038
Burkina Faso,BFA,2017,158134.4265
Burundi,BDI,2017,4600043.04
Cameroon,CMR,2017,2708600.533
Canada,CAN,2017,0
Cape Verde,CPV,2017,872.6231545
Central African Republic,CAF,2017,2888102.631
Chad,TCD,2017,2615047.88
Chile,CHL,2017,28588.08372
China,CHN,2017,1093239.143
Colombia,COL,2017,1295731.057
Comoros,COM,2017,120807.8615
Congo,COG,2017,1839910.471
Costa Rica,CRI,2017,25264.34247
Cote d'Ivoire,CIV,2017,2305149.306
Croatia,HRV,2017,12716.84472
Cyprus,CYP,2017,27.27985227
Czechia,CZE,2017,0
Democratic Republic of Congo,COD,2017,23351897.19
Denmark,DNK,2017,6295.611819
Djibouti,DJI,2017,31267.14258
Dominican Republic,DOM,2017,61477.8359
Ecuador,ECU,2017,569604.8471
Egypt,EGY,2017,680399.8897
El Salvador,SLV,2017,175625.8913
Estonia,EST,2017,1956.844828
Eswatini,SWZ,2017,179176.7521
Ethiopia,ETH,2017,5957478.856
Fiji,FJI,2017,327.837811
Finland,FIN,2017,3454.907152
France,FRA,2017,1596.915494
Gabon,GAB,2017,23751.34925
Gambia,GMB,2017,85433.99235
Germany,DEU,2017,0
Ghana,GHA,2017,1539713.327
Greece,GRC,2017,48992.94018
Guinea,GIN,2017,1073385.51
Guinea-Bissau,GNB,2017,828455.804
Guyana,GUY,2017,30770.72312
Haiti,HTI,2017,1584615.938
Honduras,HND,2017,1207456.775
Hungary,HUN,2017,30042.19426
Iceland,ISL,2017,0
India,IND,2017,8756342.804
Indonesia,IDN,2017,2823353.463
Iran,IRN,2017,31382.23955
Iraq,IRQ,2017,265312.6509
Ireland,IRL,2017,8914.238613
Israel,ISR,2017,0
Italy,ITA,2017,603426.8885
Jamaica,JAM,2017,25595.34721
Japan,JPN,2017,1196101.646
Jordan,JOR,2017,0
Kazakhstan,KAZ,2017,0
Kenya,KEN,2017,5350344.626
Kyrgyzstan,KGZ,2017,17306.81858
Laos,LAO,2017,40835.50135
Latvia,LVA,2017,2761.334769
Lesotho,LSO,2017,132948.2793
Liberia,LBR,2017,1268452.806
Lithuania,LTU,2017,22808.93192
Luxembourg,LUX,2017,770.2878075
Madagascar,MDG,2017,17963623.98
Malawi,MWI,2017,230193.6577
Malaysia,MYS,2017,0
Maldives,MDV,2017,0
Mali,MLI,2017,843602.5747
Malta,MLT,2017,469.878016
Mauritania,MRT,2017,66723.27378
Mauritius,MUS,2017,107.174333
Mexico,MEX,2017,448098.2047
Moldova,MDA,2017,0
Mongolia,MNG,2017,161.0750092
Montenegro,MNE,2017,7844.028316
Morocco,MAR,2017,8825.577048
Mozambique,MOZ,2017,2425105.21
Myanmar,MMR,2017,88850.50164
Namibia,NAM,2017,236167.6099
Nepal,NPL,2017,549299.6082
Netherlands,NLD,2017,1988.767013
Nicaragua,NIC,2017,219119.1571
Niger,NER,2017,1166759.882
Nigeria,NGA,2017,85638823.05
North Macedonia,MKD,2017,48673.25643
Norway,NOR,2017,11749.06371
Pakistan,PAK,2017,93873.14985
Palestine,PSE,2017,17414.39405
Panama,PAN,2017,76381.42315
Paraguay,PRY,2017,8806.086829
Peru,PER,2017,408382.4928
Philippines,PHL,2017,3484983.414
Poland,POL,2017,0
Portugal,PRT,2017,11199.9488
Romania,ROU,2017,147281.7726
Russia,RUS,2017,1844.902587
Rwanda,RWA,2017,2838348.672
Saint Lucia,LCA,2017,6782.777885
Sao Tome and Principe,STP,2017,38482.7276
Senegal,SEN,2017,1239014.954
Serbia,SRB,2017,207176.9541
Seychelles,SYC,2017,63.76383035
Sierra Leone,SLE,2017,3003086.233
Slovakia,SVK,2017,29483.48216
Slovenia,SVN,2017,0
South Africa,ZAF,2017,10291944.43
South Korea,KOR,2017,0
Spain,ESP,2017,233776.3898
Sri Lanka,LKA,2017,17185.12725
Sudan,SDN,2017,2259702.644
Sweden,SWE,2017,13638.76149
Switzerland,CHE,2017,0
Tajikistan,TJK,2017,69747.53413
Tanzania,TZA,2017,17001442.32
Thailand,THA,2017,1413.650799
Togo,TGO,2017,5108135.243
Trinidad and Tobago,TTO,2017,2326.939216
Tunisia,TUN,2017,0
Turkey,TUR,2017,0
Uganda,UGA,2017,3243774.713
United Kingdom,GBR,2017,66258.81917
United States,USA,2017,3246994.217
Uruguay,URY,2017,843.3419311
Uzbekistan,UZB,2017,0
Vietnam,VNM,2017,468369.8264
Zambia,ZMB,2017,9739571.017
Zimbabwe,ZWE,2017,1151798.513
