Entity,Code,Year,target
Albania,ALB,2017,1207074.346
Algeria,DZA,2017,10597132.98
Angola,AGO,2017,26987093.89
Argentina,ARG,2017,3786400.267
Armenia,ARM,2017,1078818.998
Australia,AUS,2017,183139.9115
Austria,AUT,2017,48176.47434
Azerbaijan,AZE,2017,0
Bangladesh,BGD,2017,123905944.9
Belarus,BLR,2017,97613.94408
Belgium,BEL,2017,33284.39482
Belize,BLZ,2017,143221.1227
Benin,BEN,2017,10016768.94
Bhutan,BTN,2017,388771.2146
Bolivia,BOL,2017,2859122.773
Bosnia and Herzegovina,BIH,2017,121767.6454
Botswana,BWA,2017,1327312.851
Brazil,BRA,2017,26994663.41
Bulgaria,BGR,2017,660723.2733
Burkina Faso,BFA,2017,17266900.15
Burundi,BDI,2017,10520294.41
Cameroon,CMR,2017,16319923.83
Canada,CAN,2017,181760.3028
Cape Verde,CPV,2017,174273.0823
Central African Republic,CAF,2017,4276498.805
Chad,TCD,2017,12496547.03
Chile,CHL,2017,333920.7867
China,CHN,2017,248767370.9
Colombia,COL,2017,10953442.69
Comoros,COM,2017,490080.9983
Congo,COG,2017,4601890.219
Costa Rica,CRI,2017,524216.9584
Cote d'Ivoire,CIV,2017,16823936.43
Croatia,HRV,2017,219053.9651
Cyprus,CYP,2017,605.2049781
Czechia,CZE,2017,19979.73279
Democratic Republic of Congo,COD,2017,77744106.01
Denmark,DNK,2017,9861.655498
Djibouti,DJI,2017,629803.0491
Dominican Republic,DOM,2017,1953408.075
Ecuador,ECU,2017,2863438.232
Egypt,EGY,2017,72509032.64
El Salvador,SLV,2017,2625339.275
Estonia,EST,2017,10319.61032
Eswatini,SWZ,2017,747262.7233
Ethiopia,ETH,2017,92952348.41
Fiji,FJI,2017,252225.5018
Finland,FIN,2017,5438.176508
France,FRA,2017,26536.97029
Gabon,GAB,2017,661717.9565
Gambia,GMB,2017,1617526.968
Germany,DEU,2017,198937.5499
Ghana,GHA,2017,17735636.9
Greece,GRC,2017,311427.0039
Guinea,GIN,2017,10895111.21
Guinea-Bissau,GNB,2017,1693252.957
Guyana,GUY,2017,304688.8307
Haiti,HTI,2017,9023928.994
Honduras,HND,2017,4606369.864
Hungary,HUN,2017,295724.0125
Iceland,ISL,2017,61.55602964
India,IND,2017,956949237.2
Indonesia,IDN,2017,188702785
Iran,IRN,2017,8463818.828
Iraq,IRQ,2017,19082738.58
Ireland,IRL,2017,16122.70539
Israel,ISR,2017,86938.54528
Italy,ITA,2017,1497018.936
Jamaica,JAM,2017,1530500.1
Japan,JPN,2017,2049420.141
Jordan,JOR,2017,1946142.462
Kazakhstan,KAZ,2017,210201.4188
Kenya,KEN,2017,39654006.25
Kyrgyzstan,KGZ,2017,3569171.488
Laos,LAO,2017,5820232.632
Latvia,LVA,2017,51070.24581
Lesotho,LSO,2017,1609194.299
Liberia,LBR,2017,4587991.133
Lithuania,LTU,2017,80796.18838
Luxembourg,LUX,2017,2460.504997
Madagascar,MDG,2017,24736873.91
Malawi,MWI,2017,16405830.97
Malaysia,MYS,2017,856704.3237
Maldives,MDV,2017,13551.36755
Mali,MLI,2017,16776235.05
Malta,MLT,2017,1457.19819
Mauritania,MRT,2017,2913705.323
Mauritius,MUS,2017,152289.503
Mexico,MEX,2017,22382094.7
Moldova,MDA,2017,128255.5254
Mongolia,MNG,2017,1344101.316
Montenegro,MNE,2017,92560.12164
Morocco,MAR,2017,4876209.971
Mozambique,MOZ,2017,25962638.32
Myanmar,MMR,2017,27721238
Namibia,NAM,2017,1104833.866
Nepal,NPL,2017,19916310.81
Netherlands,NLD,2017,53588.93809
Nicaragua,NIC,2017,1777630.466
Niger,NER,2017,19861604.39
Nigeria,NGA,2017,170115571.2
North Macedonia,MKD,2017,379720.2601
Norway,NOR,2017,24081.93423
Pakistan,PAK,2017,156489240.9
Palestine,PSE,2017,1059220.321
Panama,PAN,2017,812650.7202
Paraguay,PRY,2017,1060818.931
Peru,PER,2017,7053106.75
Philippines,PHL,2017,67570551.23
Poland,POL,2017,170597.3488
Portugal,PRT,2017,96027.26603
Romania,ROU,2017,2158692.332
Russia,RUS,2017,3671731.522
Rwanda,RWA,2017,10920589.33
Saint Lucia,LCA,2017,32087.55585
Sao Tome and Principe,STP,2017,168289.8611
Senegal,SEN,2017,11911166.52
Serbia,SRB,2017,1675894.25
Seychelles,SYC,2017,5473.474885
Sierra Leone,SLE,2017,6408341.648
Slovakia,SVK,2017,127761.1958
Slovenia,SVN,2017,396.8361772
South Africa,ZAF,2017,34828751.87
South Korea,KOR,2017,630756.6251
Spain,ESP,2017,689809.5975
Sri Lanka,LKA,2017,9743510.28
Sudan,SDN,2017,33295229.71
Sweden,SWE,2017,34239.36096
Switzerland,CHE,2017,1844.693527
Tajikistan,TJK,2017,3020425.13
Tanzania,TZA,2017,46212182.83
Thailand,THA,2017,13635276.36
Togo,TGO,2017,7489811.684
Trinidad and Tobago,TTO,2017,101595.3554
Tunisia,TUN,2017,1522864.864
Turkey,TUR,2017,5408228.574
Uganda,UGA,2017,33626325.65
United Kingdom,GBR,2017,280485.9153
United States,USA,2017,4873752.881
Uruguay,URY,2017,44919.50634
Uzbekistan,UZB,2017,0
Vietnam,VNM,2017,30285332.51
Zambia,ZMB,2017,14320607.34
Zimbabwe,ZWE,2017,11759094.37
