Entity,Code,Year,target
Albania,ALB,2017,419443.9779
Algeria,DZA,2017,1247876.042
Angola,AGO,2017,24346826.82
Argentina,ARG,2017,2022778.206
Armenia,ARM,2017,243484.553
Australia,AUS,2017,122636.2866
Austria,AUT,2017,35999.165
Azerbaijan,AZE,2017,0
Bangladesh,BGD,2017,59947222.41
Belarus,BLR,2017,2614.075175
Belgium,BEL,2017,27853.37113
Belize,BLZ,2017,138881.6296
Benin,BEN,2017,9207943.438
Bhutan,BTN,2017,168569.868
Bolivia,BOL,2017,2405454.015
Bosnia and Herzegovina,BIH,2017,43087.4322
Botswana,BWA,2017,818306.0213
Brazil,BRA,2017,24850088.45
Bulgaria,BGR,2017,373904.2902
Burkina Faso,BFA,2017,15384225.16
Burundi,BDI,2017,9178040.095
Cameroon,CMR,2017,10273633.02
Canada,CAN,2017,181760.3028
Cape Verde,CPV,2017,102129.9662
Central African Republic,CAF,2017,3727019.758
Chad,TCD,2017,8649787.389
Chile,CHL,2017,114528.0257
China,CHN,2017,44671074.89
Colombia,COL,2017,7481344.747
Comoros,COM,2017,495904.7212
Congo,COG,2017,3979946.406
Costa Rica,CRI,2017,243790.9269
Cote d'Ivoire,CIV,2017,9006047.975
Croatia,HRV,2017,101197.3891
Cyprus,CYP,2017,605.2049781
Czechia,CZE,2017,12581.82744
Democratic Republic of Congo,COD,2017,71170626.73
Denmark,DNK,2017,8217.558146
Djibouti,DJI,2017,435951.7065
Dominican Republic,DOM,2017,832826.7935
Ecuador,ECU,2017,1835526.224
Egypt,EGY,2017,26037281.93
El Salvador,SLV,2017,3493716.304
Estonia,EST,2017,7998.940914
Eswatini,SWZ,2017,592576.2305
Ethiopia,ETH,2017,56383745.44
Fiji,FJI,2017,65943.66745
Finland,FIN,2017,5438.176508
France,FRA,2017,13778.67288
Gabon,GAB,2017,313486.3834
Gambia,GMB,2017,1055173.76
Germany,DEU,2017,198937.5499
Ghana,GHA,2017,9977400.368
Greece,GRC,2017,220318.2031
Guinea,GIN,2017,7171209.869
Guinea-Bissau,GNB,2017,1430471.96
Guyana,GUY,2017,197033.2702
Haiti,HTI,2017,6664828.918
Honduras,HND,2017,4428401.959
Hungary,HUN,2017,125412.1317
Iceland,ISL,2017,61.55602964
India,IND,2017,571115633.2
Indonesia,IDN,2017,94181092.86
Iran,IRN,2017,1778692.011
Iraq,IRQ,2017,6851501.138
Ireland,IRL,2017,14616.84879
Israel,ISR,2017,42096.94968
Italy,ITA,2017,1138774.799
Jamaica,JAM,2017,1008218.87
Japan,JPN,2017,1533355.036
Jordan,JOR,2017,35143.59981
Kazakhstan,KAZ,2017,18573.29953
Kenya,KEN,2017,27717215.88
Kyrgyzstan,KGZ,2017,1390030.646
Laos,LAO,2017,3993281.663
Latvia,LVA,2017,26778.18105
Lesotho,LSO,2017,1077746.223
Liberia,LBR,2017,4114552.009
Lithuania,LTU,2017,37402.00932
Luxembourg,LUX,2017,2072.696366
Madagascar,MDG,2017,23927939.65
Malawi,MWI,2017,13966089.34
Malaysia,MYS,2017,96051.64215
Maldives,MDV,2017,2539.745027
Mali,MLI,2017,13122889.99
Malta,MLT,2017,1035.265736
Mauritania,MRT,2017,1631835.851
Mauritius,MUS,2017,41175.26814
Mexico,MEX,2017,12845351.35
Moldova,MDA,2017,5445.498153
Mongolia,MNG,2017,205048.6993
Montenegro,MNE,2017,38359.53664
Morocco,MAR,2017,1253090.27
Mozambique,MOZ,2017,22351717.47
Myanmar,MMR,2017,13209727.86
Namibia,NAM,2017,606992.9011
Nepal,NPL,2017,12211945.79
Netherlands,NLD,2017,36350.75993
Nicaragua,NIC,2017,946174.2164
Niger,NER,2017,12622240.14
Nigeria,NGA,2017,133395688.1
North Macedonia,MKD,2017,290090.1241
Norway,NOR,2017,19025.45378
Pakistan,PAK,2017,50113059.58
Palestine,PSE,2017,97774.9511
Panama,PAN,2017,469280.3115
Paraguay,PRY,2017,1232354.706
Peru,PER,2017,3239904.019
Philippines,PHL,2017,44819470.76
Poland,POL,2017,8371.576974
Portugal,PRT,2017,47931.10701
Romania,ROU,2017,1262222.425
Russia,RUS,2017,681503.5576
Rwanda,RWA,2017,6777359.669
Saint Lucia,LCA,2017,23497.44104
Sao Tome and Principe,STP,2017,148778.6189
Senegal,SEN,2017,7623380.515
Serbia,SRB,2017,862595.9535
Seychelles,SYC,2017,1298.223146
Sierra Leone,SLE,2017,5732626.072
Slovakia,SVK,2017,71324.32286
Slovenia,SVN,2017,0
South Africa,ZAF,2017,30809342.27
South Korea,KOR,2017,512501.5262
Spain,ESP,2017,443244.2031
Sri Lanka,LKA,2017,2288445.781
Sudan,SDN,2017,14687341.32
Sweden,SWE,2017,32787.82392
Switzerland,CHE,2017,1844.693527
Tajikistan,TJK,2017,1442385.522
Tanzania,TZA,2017,39272747.56
Thailand,THA,2017,1533898.775
Togo,TGO,2017,5719144.728
Trinidad and Tobago,TTO,2017,48055.21513
Tunisia,TUN,2017,179857.2051
Turkey,TUR,2017,1628252.678
Uganda,UGA,2017,24701821.64
United Kingdom,GBR,2017,226831.787
United States,USA,2017,4873752.881
Uruguay,URY,2017,11682.7956
Uzbekistan,UZB,2017,0
Vietnam,VNM,2017,9638111.305
World,OWID_WRL,2017,1694856126
Zambia,ZMB,2017,13002262.99
Zimbabwe,ZWE,2017,8992544.593
