Entity,Code,Year,target
Albania,ALB,2017,14.59719
Algeria,DZA,2017,3.01498
Angola,AGO,2017,81.65487
Argentina,ARG,2017,4.592546
Armenia,ARM,2017,8.268263
Australia,AUS,2017,0.4984838
Austria,AUT,2017,0.4091946
Azerbaijan,AZE,2017,0
Bangladesh,BGD,2017,37.54431
Belarus,BLR,2017,0.02752161
Belgium,BEL,2017,0.2448614
Belize,BLZ,2017,36.95931
Benin,BEN,2017,82.3962
Bhutan,BTN,2017,22.60959
Bolivia,BOL,2017,21.49098
Bosnia and Herzegovina,BIH,2017,1.285606
Botswana,BWA,2017,37.10923
Brazil,BRA,2017,11.95671
Bulgaria,BGR,2017,5.284159
Burkina Faso,BFA,2017,80.15421
Burundi,BDI,2017,84.76974
Cameroon,CMR,2017,41.82046
Canada,CAN,2017,0.4973831
Cape Verde,CPV,2017,19.00103
Central African Republic,CAF,2017,81.09219
Chad,TCD,2017,57.60084
Chile,CHL,2017,0.6200612
China,CHN,2017,3.222103
Colombia,COL,2017,15.29894
Comoros,COM,2017,60.93004
Congo,COG,2017,77.87475
Costa Rica,CRI,2017,4.925115
Cote d'Ivoire,CIV,2017,36.85344
Croatia,HRV,2017,2.453549
Cyprus,CYP,2017,0.05130247
Czechia,CZE,2017,0.1187588
Democratic Republic of Congo,COD,2017,87.43453
Denmark,DNK,2017,0.1425427
Djibouti,DJI,2017,46.17658
Dominican Republic,DOM,2017,7.921777
Ecuador,ECU,2017,10.93528
Egypt,EGY,2017,26.9977
El Salvador,SLV,2017,54.69082
Estonia,EST,2017,0.6071837
Eswatini,SWZ,2017,52.68501
Ethiopia,ETH,2017,52.99223
Fiji,FJI,2017,7.515299
Finland,FIN,2017,0.09872849
France,FRA,2017,0.02060666
Gabon,GAB,2017,15.18224
Gambia,GMB,2017,47.66144
Germany,DEU,2017,0.2406784
Ghana,GHA,2017,34.26132
Greece,GRC,2017,2.04858
Guinea,GIN,2017,59.42562
Guinea-Bissau,GNB,2017,78.24714
Guyana,GUY,2017,25.4164
Haiti,HTI,2017,60.68664
Honduras,HND,2017,46.9657
Hungary,HUN,2017,1.281289
Iceland,ISL,2017,0.01792546
India,IND,2017,42.66327
Indonesia,IDN,2017,35.58759
Iran,IRN,2017,2.204791
Iraq,IRQ,2017,18.24499
Ireland,IRL,2017,0.3040497
Israel,ISR,2017,0.4831344
Italy,ITA,2017,1.881131
Jamaica,JAM,2017,34.51796
Japan,JPN,2017,1.209406
Jordan,JOR,2017,0.3593719
Kazakhstan,KAZ,2017,0.1029689
Kenya,KEN,2017,55.18997
Kyrgyzstan,KGZ,2017,22.42636
Laos,LAO,2017,57.43221
Latvia,LVA,2017,1.378721
Lesotho,LSO,2017,51.53199
Liberia,LBR,2017,87.50218
Lithuania,LTU,2017,1.322372
Luxembourg,LUX,2017,0.3475719
Madagascar,MDG,2017,93.5762
Malawi,MWI,2017,79.03726
Malaysia,MYS,2017,0.3087978
Maldives,MDV,2017,0.5116307
Mali,MLI,2017,70.88705
Malta,MLT,2017,0.2212111
Mauritania,MRT,2017,38.10409
Mauritius,MUS,2017,3.255958
Mexico,MEX,2017,10.29462
Moldova,MDA,2017,0.1976474
Mongolia,MNG,2017,6.585204
Montenegro,MNE,2017,6.163432
Morocco,MAR,2017,3.521767
Mozambique,MOZ,2017,78.01917
Myanmar,MMR,2017,24.74539
Namibia,NAM,2017,25.26397
Nepal,NPL,2017,44.20274
Netherlands,NLD,2017,0.2121892
Nicaragua,NIC,2017,14.81904
Niger,NER,2017,58.42961
Nigeria,NGA,2017,69.88703
North Macedonia,MKD,2017,13.93327
Norway,NOR,2017,0.3605376
Pakistan,PAK,2017,24.10479
Palestine,PSE,2017,2.19482
Panama,PAN,2017,11.42699
Paraguay,PRY,2017,17.94588
Peru,PER,2017,10.30363
Philippines,PHL,2017,42.61489
Poland,POL,2017,0.02204507
Portugal,PRT,2017,0.465337
Romania,ROU,2017,6.444023
Russia,RUS,2017,0.4716394
Rwanda,RWA,2017,56.56786
Saint Lucia,LCA,2017,12.98524
Sao Tome and Principe,STP,2017,71.84284
Senegal,SEN,2017,49.44025
Serbia,SRB,2017,12.28619
Seychelles,SYC,2017,1.354531
Sierra Leone,SLE,2017,76.5531
Slovakia,SVK,2017,1.311294
Slovenia,SVN,2017,0
South Africa,ZAF,2017,54.05105
South Korea,KOR,2017,0.9978241
Spain,ESP,2017,0.9513059
Sri Lanka,LKA,2017,10.67173
Sudan,SDN,2017,35.98657
Sweden,SWE,2017,0.3259973
Switzerland,CHE,2017,0.02182594
Tajikistan,TJK,2017,16.24259
Tanzania,TZA,2017,71.84402
Thailand,THA,2017,2.216301
Togo,TGO,2017,74.28932
Trinidad and Tobago,TTO,2017,3.472017
Tunisia,TUN,2017,1.57308
Turkey,TUR,2017,2.007663
Uganda,UGA,2017,60.01055
United Kingdom,GBR,2017,0.3433783
United States,USA,2017,1.499683
Uruguay,URY,2017,0.3399476
Uzbekistan,UZB,2017,0
Vietnam,VNM,2017,10.18864
Zambia,ZMB,2017,77.14788
Zimbabwe,ZWE,2017,63.16433
