item,unit,production,year,image
Freshwater Fish,1000 tonnes,1070,2003,
Oats,1000 tonnes,1078,2003,
"Molluscs, Other",1000 tonnes,1154,2003,
Coffee and products,1000 tonnes,1172,2003,
Oilcrops,1000 tonnes,1671,2003,
Rice (Milled Equivalent),1000 tonnes,1827,2003,
"Beverages, Alcoholic",1000 tonnes,2094,2003,
Wine,1000 tonnes,2154,2003,
Eggs,1000 tonnes,4303,2003,
Freshwater Fish,1000 tonnes,1126,2004,
Oats,1000 tonnes,1097,2004,
"Molluscs, Other",1000 tonnes,1176,2004,
Coffee and products,1000 tonnes,1178,2004,
Oilcrops,1000 tonnes,1683,2004,
Rice (Milled Equivalent),1000 tonnes,1943,2004,
"Beverages, Alcoholic",1000 tonnes,2004,2004,
Wine,1000 tonnes,2152,2004,
Eggs,1000 tonnes,4375,2004,
Freshwater Fish,1000 tonnes,1215,2005,
Oats,1000 tonnes,1153,2005,
"Molluscs, Other",1000 tonnes,1047,2005,
Coffee and products,1000 tonnes,1248,2005,
Oilcrops,1000 tonnes,1855,2005,
Rice (Milled Equivalent),1000 tonnes,2021,2005,
"Beverages, Alcoholic",1000 tonnes,2283,2005,
Wine,1000 tonnes,2177,2005,
Eggs,1000 tonnes,4389,2005,
Freshwater Fish,1000 tonnes,1238,2006,
Oats,1000 tonnes,1218,2006,
"Molluscs, Other",1000 tonnes,1087,2006,
Coffee and products,1000 tonnes,1295,2006,
Oilcrops,1000 tonnes,1509,2006,
Rice (Milled Equivalent),1000 tonnes,2075,2006,
"Beverages, Alcoholic",1000 tonnes,2067,2006,
Wine,1000 tonnes,2128,2006,
Eggs,1000 tonnes,4412,2006,
Freshwater Fish,1000 tonnes,1386,2007,
Oats,1000 tonnes,1177,2007,
"Molluscs, Other",1000 tonnes,1094,2007,
Coffee and products,1000 tonnes,1265,2007,
Oilcrops,1000 tonnes,1681,2007,
Rice (Milled Equivalent),1000 tonnes,2104,2007,
"Beverages, Alcoholic",1000 tonnes,2034,2007,
Wine,1000 tonnes,2126,2007,
Eggs,1000 tonnes,4324,2007,
Freshwater Fish,1000 tonnes,1270,2008,
Oats,1000 tonnes,1183,2008,
"Molluscs, Other",1000 tonnes,1046,2008,
Coffee and products,1000 tonnes,1265,2008,
Oilcrops,1000 tonnes,1735,2008,
Rice (Milled Equivalent),1000 tonnes,2104,2008,
"Beverages, Alcoholic",1000 tonnes,2078,2008,
Wine,1000 tonnes,2130,2008,
Eggs,1000 tonnes,4288,2008,
Freshwater Fish,1000 tonnes,1332,2009,
Oats,1000 tonnes,1139,2009,
"Molluscs, Other",1000 tonnes,1068,2009,
Coffee and products,1000 tonnes,1223,2009,
Oilcrops,1000 tonnes,1611,2009,
Rice (Milled Equivalent),1000 tonnes,2118,2009,
"Beverages, Alcoholic",1000 tonnes,2098,2009,
Wine,1000 tonnes,2208,2009,
Eggs,1000 tonnes,4325,2009,
Freshwater Fish,1000 tonnes,1416,2010,
Oats,1000 tonnes,1312,2010,
"Molluscs, Other",1000 tonnes,1086,2010,
Coffee and products,1000 tonnes,1244,2010,
Oilcrops,1000 tonnes,1835,2010,
Rice (Milled Equivalent),1000 tonnes,2194,2010,
"Beverages, Alcoholic",1000 tonnes,2309,2010,
Wine,1000 tonnes,2206,2010,
Eggs,1000 tonnes,4379,2010,
Freshwater Fish,1000 tonnes,1359,2011,
Oats,1000 tonnes,1361,2011,
"Molluscs, Other",1000 tonnes,1078,2011,
Coffee and products,1000 tonnes,1311,2011,
Oilcrops,1000 tonnes,1709,2011,
Rice (Milled Equivalent),1000 tonnes,2127,2011,
"Beverages, Alcoholic",1000 tonnes,2014,2011,
Wine,1000 tonnes,2305,2011,
Eggs,1000 tonnes,4398,2011,
Freshwater Fish,1000 tonnes,1540,2012,
Oats,1000 tonnes,1300,2012,
"Molluscs, Other",1000 tonnes,1014,2012,
Coffee and products,1000 tonnes,1313,2012,
Oilcrops,1000 tonnes,1926,2012,
Rice (Milled Equivalent),1000 tonnes,2175,2012,
"Beverages, Alcoholic",1000 tonnes,2057,2012,
Wine,1000 tonnes,2607,2012,
Eggs,1000 tonnes,4523,2012,
Freshwater Fish,1000 tonnes,1673,2013,https://cdn3.iconfinder.com/data/icons/food-set-3/91/Food_C205-512.png
Oats,1000 tonnes,1265,2013,https://image.flaticon.com/icons/png/512/517/517618.png
"Molluscs, Other",1000 tonnes,1058,2013,https://image.flaticon.com/icons/png/512/1137/1137826.png
Coffee and products,1000 tonnes,1367,2013,https://image.flaticon.com/icons/png/512/1249/1249820.png
Oilcrops,1000 tonnes,1740,2013,https://image.flaticon.com/icons/png/512/1148/1148257.png
Rice (Milled Equivalent),1000 tonnes,2203,2013,https://cdn-icons-png.flaticon.com/512/129/129356.png
"Beverages, Alcoholic",1000 tonnes,2059,2013,https://cdn-icons-png.flaticon.com/512/2722/2722527.png
Wine,1000 tonnes,2710,2013,https://image.flaticon.com/icons/png/512/1249/1249888.png
Eggs,1000 tonnes,4667,2013,https://cdn3.iconfinder.com/data/icons/food-set-3/91/Food_C227-512.png
